,항목명,종목코드,회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,통화,항목코드,당기 1분기 3개월
0,수익(매출액),,,,,,,,,,ifrs-full_Revenue,
1,매출원가,,,,,,,,,,ifrs-full_CostOfSales,
2,매출총이익,,,,,,,,,,ifrs-full_GrossProfit,
3,판매비와관리비,,,,,,,,,,dart_TotalSellingGeneralAdministrativeExpenses,
4,영업이익,,,,,,,,,,dart_OperatingIncomeLoss,
5,금융수익,,,,,,,,,,ifrs-full_FinanceIncome,
6,금융비용,,,,,,,,,,ifrs-full_FinanceCosts,
7,공동기업 및 관계기업투자주식에 대한 지분법손익,,,,,,,,,,,
8,기타영업외수익,,,,,,,,,,dart_OtherGains,
9,기타영업외비용,,,,,,,,,,dart_OtherLosses,
10,법인세비용차감전순이익,,,,,,,,,,ifrs-full_ProfitLossBeforeTax,
11,법인세비용(수익),,,,,,,,,,ifrs-full_IncomeTaxExpenseContinuingOperations,
12,당기순이익,,,,,,,,,,ifrs-full_ProfitLoss,
13,당기순이익의 귀속,,,,,,,,,,ifrs-full_ProfitLossAttributableToAbstract,
14,   지배기업의 소유주,,,,,,,,,,ifrs-full_ProfitLossAttributableToOwnersOfParent,
15,   비지배지분,,,,,,,,,,ifrs-full_ProfitLossAttributableToNoncontrollingInterests,
16,주당순이익,,,,,,,,,,ifrs-full_EarningsPerShareAbstract,
17,   보통주 주당순이익,,,,,,,,,,ifrs-full_BasicEarningsLossPerShare,
18,   보통주 희석주당순이익,,,,,,,,,,ifrs-full_DilutedEarningsLossPerShare,
19,매출액,,,,,,,,,,ifrs-full_Revenue,
20,매출원가,,,,,,,,,,ifrs-full_CostOfSales,
21,매출총이익,,,,,,,,,,ifrs-full_GrossProfit,
22,판매비와관리비,,,,,,,,,,dart_TotalSellingGeneralAdministrativeExpenses,
23,영업이익,,,,,,,,,,dart_OperatingIncomeLoss,
24,금융수익,,,,,,,,,,ifrs-full_FinanceIncome,
25,금융원가,,,,,,,,,,ifrs-full_FinanceCosts,
26,기타수익,,,,,,,,,,dart_OtherGains,
27,기타비용,,,,,,,,,,dart_OtherLosses,
28,지분법손익,,,,,,,,,,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,
29,법인세비용차감전순이익(손실),,,,,,,,,,ifrs-full_ProfitLossBeforeTax,
30,법인세비용,,,,,,,,,,ifrs-full_IncomeTaxExpenseContinuingOperations,
31,분기순이익(손실),,,,,,,,,,ifrs-full_ProfitLoss,
32,분기순이익(손실)의 귀속,,,,,,,,,,ifrs-full_ProfitLossAttributableToAbstract,
33,   지배기업의 소유주지분,,,,,,,,,,ifrs-full_ProfitLossAttributableToOwnersOfParent,
34,   비지배지분,,,,,,,,,,ifrs-full_ProfitLossAttributableToNoncontrollingInterests,
35,주당이익 [abstract],,,,,,,,,,ifrs-full_EarningsPerShareAbstract,
36,   기본 및 희석주당손익(손실),,,,,,,,,,ifrs-full_BasicEarningsLossPerShare,
37,매출액,,,,,,,,,,ifrs-full_Revenue,
38,매출원가,,,,,,,,,,ifrs-full_CostOfSales,
39,매출총이익,,,,,,,,,,ifrs-full_GrossProfit,
40,판매비와관리비,,,,,,,,,,dart_TotalSellingGeneralAdministrativeExpenses,
41,영업이익(손실),,,,,,,,,,dart_OperatingIncomeLoss,
42,금융수익,,,,,,,,,,ifrs-full_FinanceIncome,
43,금융비용,,,,,,,,,,ifrs-full_FinanceCosts,
44,기타영업외수익,,,,,,,,,,dart_OtherGains,
45,기타영업외비용,,,,,,,,,,dart_OtherLosses,
46,지분법이익,,,,,,,,,,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,
47,지분법손실,,,,,,,,,,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,
48,법인세비용차감전순이익(손실),,,,,,,,,,ifrs-full_ProfitLossBeforeTax,
49,법인세비용,,,,,,,,,,ifrs-full_IncomeTaxExpenseContinuingOperations,
50,계속영업이익(손실),,,,,,,,,,ifrs-full_ProfitLossFromContinuingOperations,
51,중단영업이익(손실),,,,,,,,,,ifrs-full_ProfitLossFromDiscontinuedOperations,
52,당기순이익(손실),,,,,,,,,,ifrs-full_ProfitLoss,
53,당기순이익(손실)의 귀속 [abstract],,,,,,,,,,ifrs-full_ProfitLossAttributableToAbstract,
54,   지배기업의 소유주에게 귀속되는 당기순이익(손실),,,,,,,,,,ifrs-full_ProfitLossAttributableToOwnersOfParent,
55,   비지배지분에 귀속되는 당기순이익(손실),,,,,,,,,,ifrs-full_ProfitLossAttributableToNoncontrollingInterests,
56,주당이익 [abstract],,,,,,,,,,ifrs-full_EarningsPerShareAbstract,
57,   기본주당이익(손실),,,,,,,,,,ifrs-full_BasicEarningsLossPerShare,
58,   희석주당이익(손실),,,,,,,,,,ifrs-full_DilutedEarningsLossPerShare,
59,수익(매출액),,,,,,,,,,ifrs-full_Revenue,
60,매출원가,,,,,,,,,,ifrs-full_CostOfSales,
61,매출총이익,,,,,,,,,,ifrs-full_GrossProfit,
62,판매비와관리비,,,,,,,,,,dart_TotalSellingGeneralAdministrativeExpenses,
63,영업이익(손실),,,,,,,,,,dart_OperatingIncomeLoss,
64,기타이익,,,,,,,,,,dart_OtherGains,
65,기타손실,,,,,,,,,,dart_OtherLosses,
66,금융수익,,,,,,,,,,ifrs-full_FinanceIncome,
67,금융원가,,,,,,,,,,ifrs-full_FinanceCosts,
68,법인세비용차감전순이익(손실),,,,,,,,,,ifrs-full_ProfitLossBeforeTax,
69,법인세비용,,,,,,,,,,ifrs-full_IncomeTaxExpenseContinuingOperations,
70,당기순이익(손실),,,,,,,,,,ifrs-full_ProfitLoss,
71,당기순이익(손실)의 귀속 [abstract],,,,,,,,,,ifrs-full_ProfitLossAttributableToAbstract,
72,   지배기업의 소유주에게 귀속되는 당기순이익(손실),,,,,,,,,,ifrs-full_ProfitLossAttributableToOwnersOfParent,
73,   비지배지분에 귀속되는 당기순이익(손실),,,,,,,,,,ifrs-full_ProfitLossAttributableToNoncontrollingInterests,
74,주당이익 [abstract],,,,,,,,,,ifrs-full_EarningsPerShareAbstract,
75,   기본주당이익(손실),,,,,,,,,,ifrs-full_BasicEarningsLossPerShare,
76,수익(매출액),,,,,,,,,,ifrs-full_Revenue,
77,매출원가,,,,,,,,,,ifrs-full_CostOfSales,
78,매출총이익,,,,,,,,,,ifrs-full_GrossProfit,
79,판매비와관리비,,,,,,,,,,dart_TotalSellingGeneralAdministrativeExpenses,
80,영업이익(손실),,,,,,,,,,dart_OperatingIncomeLoss,
81,기타이익,,,,,,,,,,dart_OtherGains,
82,기타손실,,,,,,,,,,dart_OtherLosses,
83,금융수익,,,,,,,,,,ifrs-full_FinanceIncome,
84,금융원가,,,,,,,,,,ifrs-full_FinanceCosts,
85,법인세비용차감전순이익(손실),,,,,,,,,,ifrs-full_ProfitLossBeforeTax,
86,법인세비용,,,,,,,,,,ifrs-full_IncomeTaxExpenseContinuingOperations,
87,계속영업이익(손실),,,,,,,,,,ifrs-full_ProfitLossFromContinuingOperations,
88,당기순이익(손실),,,,,,,,,,ifrs-full_ProfitLoss,
89,당기순이익(손실)의 귀속 [abstract],,,,,,,,,,ifrs-full_ProfitLossAttributableToAbstract,
90,   지배기업의 소유주에게 귀속되는 당기순이익(손실),,,,,,,,,,ifrs-full_ProfitLossAttributableToOwnersOfParent,
91,   비지배지분에 귀속되는 당기순이익(손실),,,,,,,,,,ifrs-full_ProfitLossAttributableToNoncontrollingInterests,
92,주당이익 [abstract],,,,,,,,,,ifrs-full_EarningsPerShareAbstract,
93,   기본주당이익(손실),,,,,,,,,,ifrs-full_BasicEarningsLossPerShare,
94,      계속영업기본주당이익(손실),,,,,,,,,,ifrs-full_BasicEarningsLossPerShareFromContinuingOperations,
95,   우선주당이익(손실),,,,,,,,,,ifrs-full_DilutedEarningsLossPerShare,
96,      계속영업우선주당이익(손실),,,,,,,,,,ifrs-full_DilutedEarningsLossPerShareFromContinuingOperations,
97,매출액,,,,,,,,,,ifrs-full_Revenue,
98,   공사매출,,,,,,,,,,dart_RevenueFromConstruction,
99,   분양매출,,,,,,,,,,dart_RevenueFromSaleOfGoodsRealEstate,
100,   기타매출,,,,,,,,,,ifrs-full_OtherRevenue,
101,매출원가,,,,,,,,,,ifrs-full_CostOfSales,
102,   공사매출원가,,,,,,,,,,dart_CostOfSalesFromConstruction,
103,   분양매출원가,,,,,,,,,,dart_CostOfSalesFromSaleOfGoodsRealEstate,
104,   기타매출원가,,,,,,,,,,dart_OtherCostOfSales,
105,매출총이익,,,,,,,,,,ifrs-full_GrossProfit,
106,판매비와관리비,,,,,,,,,,dart_TotalSellingGeneralAdministrativeExpenses,
107,영업이익,,,,,,,,,,dart_OperatingIncomeLoss,
108,기타수익,,,,,,,,,,dart_OtherGains,
109,기타비용,,,,,,,,,,dart_OtherLosses,
110,관계회사지분증권손익,,,,,,,,,,,
111,   지분법이익,,,,,,,,,,dart_ProfitsOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,
112,   지분법손실,,,,,,,,,,dart_LossesOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,
113,금융수익,,,,,,,,,,ifrs-full_FinanceIncome,
114,금융원가,,,,,,,,,,ifrs-full_FinanceCosts,
115,법인세비용차감전순이익,,,,,,,,,,ifrs-full_ProfitLossBeforeTax,
116,법인세비용,,,,,,,,,,ifrs-full_IncomeTaxExpenseContinuingOperations,
117,당기순이익,,,,,,,,,,ifrs-full_ProfitLoss,
118,   지배기업의 소유주에게 귀속되는 당기순이익,,,,,,,,,,ifrs-full_ProfitLossAttributableToOwnersOfParent,
119,   비지배지분에 귀속되는 당기순이익,,,,,,,,,,ifrs-full_ProfitLossAttributableToNoncontrollingInterests,
120,주당이익 [abstract],,,,,,,,,,ifrs-full_EarningsPerShareAbstract,
121,   기본주당이익(손실),,,,,,,,,,ifrs-full_BasicEarningsLossPerShare,
122,   희석주당이익(손실),,,,,,,,,,ifrs-full_DilutedEarningsLossPerShare,
123,수익(매출액),,,,,,,,,,ifrs-full_Revenue,
124,   상품매출액,,,,,,,,,,dart_RevenueFromSaleOfGoodsMerchandise,
125,   제품매출액,,,,,,,,,,dart_RevenueFromSaleOfGoodsProduct,
126,   수수료매출,,,,,,,,,,dart_RevenueFromRenderingOfServicesCommission,
127,매출원가,,,,,,,,,,ifrs-full_CostOfSales,
128,   상품매출원가,,,,,,,,,,dart_CostOfSalesFromSaleOfGoodsMerchandises,
129,   제품매출원가,,,,,,,,,,dart_CostOfSalesFromSaleOfGoodsProduct,
130,   수수료매출원가,,,,,,,,,,dart_CostOfSalesFromRenderingOfServicesCommission,
131,매출총이익,,,,,,,,,,ifrs-full_GrossProfit,
132,판매비와관리비,,,,,,,,,,dart_TotalSellingGeneralAdministrativeExpenses,
133,영업이익(손실),,,,,,,,,,dart_OperatingIncomeLoss,
134,기타이익,,,,,,,,,,dart_OtherGains,
135,기타손실,,,,,,,,,,dart_OtherLosses,
136,금융수익,,,,,,,,,,ifrs-full_FinanceIncome,
137,금융원가,,,,,,,,,,ifrs-full_FinanceCosts,
138,관계기업관련손익,,,,,,,,,,ifrs-full_GainsArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,
139,법인세비용차감전순이익(손실),,,,,,,,,,ifrs-full_ProfitLossBeforeTax,
140,법인세비용,,,,,,,,,,ifrs-full_IncomeTaxExpenseContinuingOperations,
141,당기순이익(손실),,,,,,,,,,ifrs-full_ProfitLoss,
142,당기순이익(손실)의 귀속 [abstract],,,,,,,,,,ifrs-full_ProfitLossAttributableToAbstract,
143,   지배기업의 소유주에게 귀속되는 당기순이익(손실),,,,,,,,,,ifrs-full_ProfitLossAttributableToOwnersOfParent,
144,   비지배지분에 귀속되는 당기순이익(손실),,,,,,,,,,ifrs-full_ProfitLossAttributableToNoncontrollingInterests,
145,주당이익 [abstract],,,,,,,,,,ifrs-full_EarningsPerShareAbstract,
146,   기본주당이익(손실),,,,,,,,,,ifrs-full_BasicEarningsLossPerShare,
147,수익(매출액),,,,,,,,,,ifrs-full_Revenue,
148,매출원가,,,,,,,,,,ifrs-full_CostOfSales,
149,매출총이익,,,,,,,,,,ifrs-full_GrossProfit,
150,판매비와관리비,,,,,,,,,,dart_TotalSellingGeneralAdministrativeExpenses,
151,영업이익(손실),,,,,,,,,,dart_OperatingIncomeLoss,
152,기타수익,,,,,,,,,,dart_OtherGains,
153,기타비용,,,,,,,,,,dart_OtherLosses,
154,금융수익,,,,,,,,,,ifrs-full_FinanceIncome,
155,금융비용,,,,,,,,,,ifrs-full_FinanceCosts,
156,관계기업손익,,,,,,,,,,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,
157,   관계기업손익에 대한 지분,,,,,,,,,,,
158,   관계기업투자주식처분손익,,,,,,,,,,,
159,법인세비용차감전순이익(손실),,,,,,,,,,ifrs-full_ProfitLossBeforeTax,
160,법인세비용,,,,,,,,,,ifrs-full_IncomeTaxExpenseContinuingOperations,
161,당기순이익(손실),,,,,,,,,,ifrs-full_ProfitLoss,
162,당기순이익(손실)의 귀속 [abstract],,,,,,,,,,ifrs-full_ProfitLossAttributableToAbstract,
163,   지배기업 소유주지분 당기순이익(손실),,,,,,,,,,ifrs-full_ProfitLossAttributableToOwnersOfParent,
164,   비지배지분 당기순이익(손실),,,,,,,,,,ifrs-full_ProfitLossAttributableToNoncontrollingInterests,
165,주당이익 [abstract],,,,,,,,,,ifrs-full_EarningsPerShareAbstract,
166,   기본주당이익(손실),,,,,,,,,,ifrs-full_BasicEarningsLossPerShare,
167,   희석주당이익(손실),,,,,,,,,,ifrs-full_DilutedEarningsLossPerShare,
168,매출액,,,,,,,,,,ifrs-full_Revenue,
169,   공사수익,,,,,,,,,,dart_RevenueFromConstruction,
170,   분양매출(수익),,,,,,,,,,dart_RevenueFromSaleOfGoodsRealEstate,
171,   용역매출액,,,,,,,,,,dart_RevenueFromServices,
172,   상품매출액,,,,,,,,,,dart_RevenueFromSaleOfGoodsMerchandise,
173,   제품매출액,,,,,,,,,,dart_RevenueFromSaleOfGoodsProduct,
174,   기타수익(매출액),,,,,,,,,,ifrs-full_OtherRevenue,
175,매출원가,,,,,,,,,,ifrs-full_CostOfSales,
176,   공사매출원가,,,,,,,,,,dart_CostOfSalesFromConstruction,
177,   분양매출원가,,,,,,,,,,dart_CostOfSalesFromSaleOfGoodsRealEstate,
178,   용역매출원가,,,,,,,,,,dart_CostOfSalesFromServices,
179,   상품매출원가,,,,,,,,,,dart_CostOfSalesFromSaleOfGoodsMerchandises,
180,   제품매출원가,,,,,,,,,,dart_CostOfSalesFromSaleOfGoodsProduct,
181,   기타매출원가,,,,,,,,,,dart_OtherCostOfSales,
182,매출총이익,,,,,,,,,,ifrs-full_GrossProfit,
183,판매비와관리비,,,,,,,,,,dart_TotalSellingGeneralAdministrativeExpenses,
184,영업이익,,,,,,,,,,dart_OperatingIncomeLoss,
185,영업외수익,,,,,,,,,,dart_OtherGains,
186,영업외비용,,,,,,,,,,dart_OtherLosses,
187,금융수익,,,,,,,,,,ifrs-full_FinanceIncome,
188,금융원가,,,,,,,,,,ifrs-full_FinanceCosts,
189,관계기업 지분법손익,,,,,,,,,,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,
190,법인세비용차감전순이익,,,,,,,,,,ifrs-full_ProfitLossBeforeTax,
191,법인세비용,,,,,,,,,,ifrs-full_IncomeTaxExpenseContinuingOperations,
192,분기순이익,,,,,,,,,,ifrs-full_ProfitLoss,
193,분기순이익의 귀속,,,,,,,,,,ifrs-full_ProfitLossAttributableToAbstract,
194,   지배기업의 소유주,,,,,,,,,,ifrs-full_ProfitLossAttributableToOwnersOfParent,
195,   비지배지분,,,,,,,,,,ifrs-full_ProfitLossAttributableToNoncontrollingInterests,
196,주당이익 [abstract],,,,,,,,,,ifrs-full_EarningsPerShareAbstract,
197,   계속영업기본주당이익(손실),,,,,,,,,,ifrs-full_BasicEarningsLossPerShareFromContinuingOperations,
198,매출액,,,,,,,,,,ifrs-full_Revenue,
199,   제품매출액,,,,,,,,,,dart_RevenueFromSaleOfGoodsProduct,
200,   상품매출액,,,,,,,,,,dart_RevenueFromSaleOfGoodsMerchandise,
201,매출원가,,,,,,,,,,ifrs-full_CostOfSales,
202,   제품매출원가,,,,,,,,,,dart_CostOfSalesFromSaleOfGoodsProduct,
203,   상품매출원가,,,,,,,,,,dart_CostOfSalesFromSaleOfGoodsMerchandises,
204,매출총이익,,,,,,,,,,ifrs-full_GrossProfit,
205,판매비와관리비,,,,,,,,,,dart_TotalSellingGeneralAdministrativeExpenses,
206,대손상각비,,,,,,,,,,,
207,영업이익(손실),,,,,,,,,,dart_OperatingIncomeLoss,
208,기타수익,,,,,,,,,,dart_OtherGains,
209,기타비용,,,,,,,,,,dart_OtherLosses,
210,금융수익,,,,,,,,,,ifrs-full_FinanceIncome,
211,금융비용,,,,,,,,,,ifrs-full_FinanceCosts,
212,이자수익,,,,,,,,,,dart_OtherGains,
213,이자비용,,,,,,,,,,,
214,관계기업 지분법손익,,,,,,,,,,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,
215,법인세비용차감전순이익(손실),,,,,,,,,,ifrs-full_ProfitLossBeforeTax,
216,법인세비용,,,,,,,,,,ifrs-full_IncomeTaxExpenseContinuingOperations,
217,분기순이익(손실),,,,,,,,,,ifrs-full_ProfitLoss,
218,당기순이익(손실)의 귀속 [abstract],,,,,,,,,,ifrs-full_ProfitLossAttributableToAbstract,
219,   지배기업의 소유주에게 귀속되는 당기순이익(손실),,,,,,,,,,ifrs-full_ProfitLossAttributableToOwnersOfParent,
220,   비지배지분에 귀속되는 당기순이익(손실),,,,,,,,,,ifrs-full_ProfitLossAttributableToNoncontrollingInterests,
221,주당이익 [abstract],,,,,,,,,,ifrs-full_EarningsPerShareAbstract,
222,   기본주당이익(손실),,,,,,,,,,ifrs-full_BasicEarningsLossPerShare,
223,   희석주당이익(손실),,,,,,,,,,ifrs-full_DilutedEarningsLossPerShare,
224,수익(매출액),,,,,,,,,,ifrs-full_Revenue,
225,   건설계약으로 인한 수익(매출액),,,,,,,,,,ifrs-full_RevenueFromConstructionContracts,
226,      공사수익,,,,,,,,,,dart_RevenueFromConstruction,
227,      분양매출(수익),,,,,,,,,,dart_RevenueFromSaleOfGoodsRealEstate,
228,   기타수익(매출액),,,,,,,,,,ifrs-full_OtherRevenue,
229,매출원가,,,,,,,,,,ifrs-full_CostOfSales,
230,   건설계약으로 인한 수익(매출액)에 대한 매출원가,,,,,,,,,,dart_CostOfSalesFromConstructionContracts,
231,      공사매출원가,,,,,,,,,,dart_CostOfSalesFromConstruction,
232,      분양매출원가,,,,,,,,,,dart_CostOfSalesFromSaleOfGoodsRealEstate,
233,   기타수익(매출액)에 대한 매출원가,,,,,,,,,,dart_OtherCostOfSales,
234,매출총이익,,,,,,,,,,ifrs-full_GrossProfit,
235,판매비와관리비,,,,,,,,,,dart_TotalSellingGeneralAdministrativeExpenses,
236,대손상각비,,,,,,,,,,,
237,영업이익(손실),,,,,,,,,,dart_OperatingIncomeLoss,
238,기타이익,,,,,,,,,,dart_OtherGains,
239,기타손실,,,,,,,,,,dart_OtherLosses,
240,이자수익,,,,,,,,,,dart_OtherGains,
241,이자비용,,,,,,,,,,,
242,금융수익,,,,,,,,,,ifrs-full_FinanceIncome,
243,금융원가,,,,,,,,,,ifrs-full_FinanceCosts,
244,관계기업 지분법손익,,,,,,,,,,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,
245,법인세비용차감전순이익(손실),,,,,,,,,,ifrs-full_ProfitLossBeforeTax,
246,법인세비용,,,,,,,,,,ifrs-full_IncomeTaxExpenseContinuingOperations,
247,당기순이익(손실),,,,,,,,,,ifrs-full_ProfitLoss,
248,당기순이익(손실)의 귀속 [abstract],,,,,,,,,,ifrs-full_ProfitLossAttributableToAbstract,
249,   지배기업의 소유주에게 귀속되는 당기순이익(손실),,,,,,,,,,ifrs-full_ProfitLossAttributableToOwnersOfParent,
250,   비지배지분에 귀속되는 당기순이익(손실),,,,,,,,,,ifrs-full_ProfitLossAttributableToNoncontrollingInterests,
251,주당이익 [abstract],,,,,,,,,,ifrs-full_EarningsPerShareAbstract,
252,   기본주당이익(손실),,,,,,,,,,ifrs-full_BasicEarningsLossPerShare,
253,      계속영업기본주당이익(손실),,,,,,,,,,ifrs-full_BasicEarningsLossPerShareFromContinuingOperations,
254,   희석주당이익(손실),,,,,,,,,,ifrs-full_DilutedEarningsLossPerShare,
255,      계속영업희석주당이익(손실),,,,,,,,,,ifrs-full_DilutedEarningsLossPerShareFromContinuingOperations,
256,매출,,,,,,,,,,ifrs-full_Revenue,
257,매출원가,,,,,,,,,,ifrs-full_CostOfSales,
258,매출총이익,,,,,,,,,,ifrs-full_GrossProfit,
259,판매비와관리비,,,,,,,,,,dart_TotalSellingGeneralAdministrativeExpenses,
260,영업이익(손실),,,,,,,,,,dart_OperatingIncomeLoss,
261,금융수익,,,,,,,,,,ifrs-full_FinanceIncome,
262,금융비용,,,,,,,,,,ifrs-full_FinanceCosts,
263,기타영업외수익,,,,,,,,,,dart_OtherGains,
264,기타영업외비용,,,,,,,,,,dart_OtherLosses,
