항목명,회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,통화,항목코드,당기 1분기 3개월_0,당기 1분기 3개월_1,당기 1분기 3개월_0,당기 1분기 3개월_1
금융수익_유효이자율법에따른이자수익,APS홀딩스,코스닥시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,dart_InterestIncomeFinanceIncome,,,"42,688,276","57,542,235"
기타의대손충당금환입,APS홀딩스,코스닥시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,entity00296078,,,,0
기타포괄손익공정가치측정금융자산평가이익,APS홀딩스,코스닥시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,entity00296078,,,0,0
대손충당금환입(비용),APS홀딩스,코스닥시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,entity00296078,,,,"104,811,393"
기타의대손상각비,AP시스템,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2020-03-31,1분기보고서,KRW,dart_AllowanceForOtherDoubtfulAccounts,,,0,
당기손익으로재분류되지않는항목,AP시스템,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2020-03-31,1분기보고서,KRW,dart_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,,,0,
대손상각비,AP시스템,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2020-03-31,1분기보고서,KRW,dart_BadDebtExpenses,,,"817,377,310","817,377,310"
순확정급여부채의재측정요소,AP시스템,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2020-03-31,1분기보고서,KRW,dart_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,,,0,
이자수익,AP시스템,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2020-03-31,1분기보고서,KRW,dart_InterestIncomeFinanceIncome,,,"131,000,635","131,000,635"
재고자산폐기손실,AP위성,코스닥시장상장법인,264,통신 및 방송 장비 제조업,12,2020-03-31,1분기보고서,KRW,dart_WritedownsOfInventories,,,0,
금융수익-기타,BGF,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,ifrs-full_FinanceIncome,,,"1,196,380,839","1,348,232,688"
영업수익,BGF,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,ifrs-full_Revenue,,,"35,192,528,893",
금융수익-기타,BGF리테일,유가증권시장상장법인,471,종합 소매업,12,2020-03-31,1분기보고서,KRW,ifrs-full_FinanceIncome,,,"3,557,632,580","3,538,312,008"
기타의대손상각비환입(비용),BGF리테일,유가증권시장상장법인,471,종합 소매업,12,2020-03-31,1분기보고서,KRW,entity01263022,,,"-24,311,501","-19,211,501"
대손상각비,BGF리테일,유가증권시장상장법인,471,종합 소매업,12,2020-03-31,1분기보고서,KRW,dart_BadDebtExpenses,,,"13,647,753","13,647,753"
1.판매비,BYC,유가증권시장상장법인,141,봉제의복 제조업,12,2020-03-31,1분기보고서,KRW,entity00122579,,,"2,147,470,621","1,765,438,472"
2.관리비,BYC,유가증권시장상장법인,141,봉제의복 제조업,12,2020-03-31,1분기보고서,KRW,entity00122579,,,"9,372,879,702","9,216,379,634"
IX.지분법손실,BYC,유가증권시장상장법인,141,봉제의복 제조업,12,2020-03-31,1분기보고서,KRW,entity00122579,,,,"7,582,702"
보통주기본주당순이익,BYC,유가증권시장상장법인,141,봉제의복 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_BasicEarningsLossPerShare,,,"2,073",127
보통주희석주당순이익,BYC,유가증권시장상장법인,141,봉제의복 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_DilutedEarningsLossPerShare,,,"2,073",127
우선주기본주당순이익,BYC,유가증권시장상장법인,141,봉제의복 제조업,12,2020-03-31,1분기보고서,KRW,entity00122579,,,"2,086",140
우선주희석주당순이익,BYC,유가증권시장상장법인,141,봉제의복 제조업,12,2020-03-31,1분기보고서,KRW,entity00122579,,,"2,086",140
지분법자본변동,BYC,유가증권시장상장법인,141,봉제의복 제조업,12,2020-03-31,1분기보고서,KRW,dart_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillBeReclassifiedToProfitOrLossNetOfTax,,,,
공동기업및관계기업투자주식에대한지분법손익,CJ,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,entity00148540,,"13,080,447,000",,
