,항목명,종목코드,회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,통화,항목코드,당기 1분기 3개월
0,수익(매출액),,,,,,,,,,ifrs-full_Revenue,
1,매출원가,,,,,,,,,,ifrs-full_CostOfSales,
2,매출총이익,,,,,,,,,,ifrs-full_GrossProfit,
3,판매비와관리비,,,,,,,,,,dart_TotalSellingGeneralAdministrativeExpenses,
4,   판매비,,,,,,,,,,dart_MiscellaneousExpenses,
5,   관리비,,,,,,,,,,dart_LeaseholdAdministrationExpense,
6,영업이익(손실),,,,,,,,,,dart_OperatingIncomeLoss,
7,관계기업투자이익,,,,,,,,,,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,
8,금융수익,,,,,,,,,,ifrs-full_FinanceIncome,
9,금융비용,,,,,,,,,,ifrs-full_FinanceCosts,
10,기타영업외이익,,,,,,,,,,dart_OtherGains,
11,기타영업외비용,,,,,,,,,,dart_OtherLosses,
12,법인세비용차감전순이익(손실),,,,,,,,,,ifrs-full_ProfitLossBeforeTax,
13,법인세비용(수익),,,,,,,,,,ifrs-full_IncomeTaxExpenseContinuingOperations,
14,분기순이익,,,,,,,,,,ifrs-full_ProfitLoss,
15,기타포괄손익,,,,,,,,,,ifrs-full_OtherComprehensiveIncome,
16,   후속적으로 당기손익으로 재분류될 수 있는 항목,,,,,,,,,,dart_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,
17,      해외사업장환산외환차이(세후기타포괄손익),,,,,,,,,,ifrs-full_GainsLossesOnExchangeDifferencesOnTranslationNetOfTax,
18,      매도가능금융자산평가이익,,,,,,,,,,ifrs-full_GainsLossesOnRemeasuringAvailableforsaleFinancialAssetsNetOfTax,
19,      당기손익으로 재분류될 수 있는 항목의 법인세,,,,,,,,,,dart_IncomeTaxRelatingToComponentsOfOtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLoss,
20,당기포괄이익(손실),,,,,,,,,,ifrs-full_ComprehensiveIncome,
21,당기순이익(손실)의 귀속 [abstract],,,,,,,,,,ifrs-full_ProfitLossAttributableToAbstract,
22,   지배기업의 소유주지분,,,,,,,,,,ifrs-full_ProfitLossAttributableToOwnersOfParent,
23,   비지배지분,,,,,,,,,,ifrs-full_ProfitLossAttributableToNoncontrollingInterests,
24,총 포괄손익의 귀속 [abstract],,,,,,,,,,ifrs-full_ComprehensiveIncomeAttributableToAbstract,
25,   지배기업 소유주지분,,,,,,,,,,ifrs-full_ProfitLossAttributableToOwnersOfParent,
26,   비지배지분,,,,,,,,,,ifrs-full_ProfitLossAttributableToNoncontrollingInterests,
27,주당손익,,,,,,,,,,ifrs-full_EarningsPerShareAbstract,
28,   기본및희석주당이익(손실),,,,,,,,,,ifrs-full_BasicEarningsLossPerShare,
29,영업수익,,,,,,,,,,ifrs-full_Revenue,
30,영업비용,,,,,,,,,,ifrs-full_CostOfSales,
31,영업이익(손실),,,,,,,,,,dart_OperatingIncomeLoss,
32,기타수익,,,,,,,,,,dart_OtherGains,
33,기타비용,,,,,,,,,,dart_OtherLosses,
34,관계회사투자손익,,,,,,,,,,,
35,금융수익,,,,,,,,,,ifrs-full_FinanceIncome,
36,금융비용,,,,,,,,,,ifrs-full_FinanceCosts,
37,법인세비용차감전순이익(손실),,,,,,,,,,ifrs-full_ProfitLossBeforeTax,
38,법인세비용,,,,,,,,,,ifrs-full_IncomeTaxExpenseContinuingOperations,
39,계속영업당기순이익(손실),,,,,,,,,,ifrs-full_ProfitLossFromContinuingOperations,
40,당기순이익(손실),,,,,,,,,,ifrs-full_ProfitLoss,
41,기타포괄손익,,,,,,,,,,ifrs-full_OtherComprehensiveIncome,
42,기타포괄손익-공정가치 측정 금융자산 평가이익(손실),,,,,,,,,,,
43,해외사업환산손익,,,,,,,,,,,
44,총포괄손익,,,,,,,,,,ifrs-full_ComprehensiveIncome,
45,당기순이익(손실)의 귀속 [abstract],,,,,,,,,,ifrs-full_ProfitLossAttributableToAbstract,
46,   지배회사소유주지분,,,,,,,,,,ifrs-full_ProfitLossAttributableToOwnersOfParent,
47,   비지배지분,,,,,,,,,,ifrs-full_ProfitLossAttributableToNoncontrollingInterests,
48,총 포괄손익의 귀속 [abstract],,,,,,,,,,ifrs-full_ComprehensiveIncomeAttributableToAbstract,
49,   지배회사소유주지분,,,,,,,,,,ifrs-full_ProfitLossAttributableToOwnersOfParent,
50,   비지배지분,,,,,,,,,,ifrs-full_ProfitLossAttributableToNoncontrollingInterests,
51,주당이익 [abstract],,,,,,,,,,ifrs-full_EarningsPerShareAbstract,
52,   기본주당이익(손실),,,,,,,,,,ifrs-full_BasicEarningsLossPerShare,
53,   중단영업주당이익,,,,,,,,,,ifrs-full_DilutedEarningsLossPerShareFromDiscontinuedOperations,
54,수익(매출액),,,,,,,,,,ifrs-full_Revenue,
55,매출원가,,,,,,,,,,ifrs-full_CostOfSales,
56,매출총이익,,,,,,,,,,ifrs-full_GrossProfit,
57,판매비와관리비,,,,,,,,,,dart_TotalSellingGeneralAdministrativeExpenses,
58,영업이익(손실),,,,,,,,,,dart_OperatingIncomeLoss,
59,기타이익,,,,,,,,,,dart_OtherGains,
60,기타손실,,,,,,,,,,dart_OtherLosses,
61,금융수익,,,,,,,,,,ifrs-full_FinanceIncome,
62,금융원가,,,,,,,,,,ifrs-full_FinanceCosts,
63,관계기업에 대한 지분법손익,,,,,,,,,,ifrs-full_GainsLossesArisingFromDifferenceBetweenPreviousCarryingAmountAndFairValueOfFinancialAssetsReclassifiedAsMeasuredAtFairValue,
64,법인세비용차감전순이익(손실),,,,,,,,,,ifrs-full_ProfitLossBeforeTax,
65,법인세비용,,,,,,,,,,ifrs-full_IncomeTaxExpenseContinuingOperations,
66,당기순이익(손실),,,,,,,,,,ifrs-full_ProfitLoss,
67,   지배기업의 소유주 지분,,,,,,,,,,ifrs-full_ProfitLossAttributableToOwnersOfParent,
68,   비지배지분,,,,,,,,,,ifrs-full_ProfitLossAttributableToNoncontrollingInterests,
69,기타포괄손익,,,,,,,,,,ifrs-full_OtherComprehensiveIncome,
70,   당기손익으로 재분류되지 않는항목(세후기타포괄손익),,,,,,,,,,dart_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,
71,      확정급여부채재측정요소,,,,,,,,,,,
72,      지분법이익잉여금변동,,,,,,,,,,dart_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillNotBeReclassifiedToProfitOrLossNetOfTax,
73,      기타포괄손익-공정가치측정지분상품평가손익,,,,,,,,,,dart_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillNotBeReclassifiedToProfitOrLossNetOfTax,
74,   당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),,,,,,,,,,dart_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,
75,      파생상품평가손익,,,,,,,,,,ifrs-full_GainsLossesOnFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncomeNetOfTax,
76,      해외사업장환산외환차이(세후기타포괄손익),,,,,,,,,,ifrs-full_GainsLossesOnExchangeDifferencesOnTranslationNetOfTax,
77,      지분법 적용대상 관계기업과 공동기업의 기타포괄손익에 대한 지분(세후기타포괄손익),,,,,,,,,,dart_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillNotBeReclassifiedToProfitOrLossNetOfTax,
78,총포괄손익,,,,,,,,,,ifrs-full_ComprehensiveIncome,
79,총 포괄손익의 귀속 [abstract],,,,,,,,,,ifrs-full_ComprehensiveIncomeAttributableToAbstract,
80,   지배기업의 소유주 지분,,,,,,,,,,ifrs-full_ProfitLossAttributableToOwnersOfParent,
81,   비지배지분,,,,,,,,,,ifrs-full_ProfitLossAttributableToNoncontrollingInterests,
82,주당순이익,,,,,,,,,,ifrs-full_EarningsPerShareAbstract,
83,   기본주당이익,,,,,,,,,,ifrs-full_BasicEarningsLossPerShare,
84,   희석주당이익(손실),,,,,,,,,,ifrs-full_DilutedEarningsLossPerShare,
85,수익(매출액),,,,,,,,,,ifrs-full_Revenue,
86,매출원가,,,,,,,,,,ifrs-full_CostOfSales,
87,매출총이익,,,,,,,,,,ifrs-full_GrossProfit,
88,판매비와관리비,,,,,,,,,,dart_TotalSellingGeneralAdministrativeExpenses,
89,대손충당금환입(비용),,,,,,,,,,,
90,영업이익(손실),,,,,,,,,,dart_OperatingIncomeLoss,
91,기타이익,,,,,,,,,,dart_OtherGains,
92,기타의대손충당금환입,,,,,,,,,,,
93,기타손실,,,,,,,,,,dart_OtherLosses,
94,금융수익_유효이자율법에 따른 이자수익,,,,,,,,,,,
95,금융수익,,,,,,,,,,ifrs-full_FinanceIncome,
96,금융원가,,,,,,,,,,ifrs-full_FinanceCosts,
97,관계기업에 대한 지분법손익,,,,,,,,,,ifrs-full_GainsLossesArisingFromDifferenceBetweenPreviousCarryingAmountAndFairValueOfFinancialAssetsReclassifiedAsMeasuredAtFairValue,
98,법인세비용차감전순이익(손실),,,,,,,,,,ifrs-full_ProfitLossBeforeTax,
99,법인세비용,,,,,,,,,,ifrs-full_IncomeTaxExpenseContinuingOperations,
100,계속영업이익(손실),,,,,,,,,,ifrs-full_ProfitLossFromContinuingOperations,
101,당기순이익(손실),,,,,,,,,,ifrs-full_ProfitLoss,
102,기타포괄손익,,,,,,,,,,ifrs-full_OtherComprehensiveIncome,
103,   당기손익으로 재분류되지 않는 항목(세전기타포괄손익),,,,,,,,,,dart_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossBeforeTax,
104,      확정급여제도의 재측정손익(세전기타포괄손익),,,,,,,,,,dart_OtherComprehensiveIncomeBeforeTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,
105,      지분법 적용대상 관계기업과 공동기업의 기타포괄손익에 대한 지분(세전기타포괄손익),,,,,,,,,,dart_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillNotBeReclassifiedToProfitOrLossBeforeTax,
106,      기타포괄손익공정가치측정금융자산평가이익,,,,,,,,,,,
107,   당기손익으로 재분류될 수 있는 항목(세전기타포괄손익),,,,,,,,,,dart_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossBeforeTax,
108,      매도가능금융자산평가손익(세전기타포괄손익),,,,,,,,,,ifrs-full_GainsLossesOnRemeasuringAvailableforsaleFinancialAssetsBeforeTax,
109,      해외사업장환산외환차이(세전기타포괄이익),,,,,,,,,,ifrs-full_GainsLossesOnExchangeDifferencesOnTranslationBeforeTax,
110,      지분법 적용대상 관계기업과 공동기업의 기타포괄손익에 대한 지분(세전기타포괄손익),,,,,,,,,,dart_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillNotBeReclassifiedToProfitOrLossBeforeTax,
111,총포괄손익,,,,,,,,,,ifrs-full_ComprehensiveIncome,
112,당기순이익(손실)의 귀속 [abstract],,,,,,,,,,ifrs-full_ProfitLossAttributableToAbstract,
113,   지배기업의 소유주에게 귀속되는 당기순이익(손실),,,,,,,,,,ifrs-full_ProfitLossAttributableToOwnersOfParent,
114,   비지배지분에 귀속되는 당기순이익(손실),,,,,,,,,,ifrs-full_ProfitLossAttributableToNoncontrollingInterests,
115,총 포괄손익의 귀속 [abstract],,,,,,,,,,ifrs-full_ComprehensiveIncomeAttributableToAbstract,
116,"   총 포괄손익, 지배기업의 소유주에게 귀속되는 지분",,,,,,,,,,ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,
117,"   총 포괄손익, 비지배지분",,,,,,,,,,ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,
118,주당이익 [abstract],,,,,,,,,,ifrs-full_EarningsPerShareAbstract,
119,   기본주당이익(손실),,,,,,,,,,ifrs-full_BasicEarningsLossPerShare,
120,      계속영업기본주당이익(손실),,,,,,,,,,ifrs-full_BasicEarningsLossPerShareFromContinuingOperations,
121,   희석주당이익(손실),,,,,,,,,,ifrs-full_DilutedEarningsLossPerShare,
122,      계속영업희석주당이익(손실),,,,,,,,,,ifrs-full_DilutedEarningsLossPerShareFromContinuingOperations,
123,수익(매출액),,,,,,,,,,ifrs-full_Revenue,
124,매출원가,,,,,,,,,,ifrs-full_CostOfSales,
125,매출총이익,,,,,,,,,,ifrs-full_GrossProfit,
126,판매비와관리비,,,,,,,,,,dart_TotalSellingGeneralAdministrativeExpenses,
127,대손상각비,,,,,,,,,,,
128,영업이익(손실),,,,,,,,,,dart_OperatingIncomeLoss,
129,기타수익,,,,,,,,,,dart_OtherGains,
130,기타비용,,,,,,,,,,dart_OtherLosses,
131,이자수익,,,,,,,,,,dart_OtherGains,
132,금융수익,,,,,,,,,,ifrs-full_FinanceIncome,
133,금융비용,,,,,,,,,,ifrs-full_FinanceCosts,
134,법인세비용차감전순이익(손실),,,,,,,,,,ifrs-full_ProfitLossBeforeTax,
135,법인세비용,,,,,,,,,,ifrs-full_IncomeTaxExpenseContinuingOperations,
136,당기순이익(손실),,,,,,,,,,ifrs-full_ProfitLoss,
137,당기순이익(손실)의 귀속 [abstract],,,,,,,,,,ifrs-full_ProfitLossAttributableToAbstract,
138,   비지배지분에 귀속되는 당기순이익(손실),,,,,,,,,,ifrs-full_ProfitLossAttributableToNoncontrollingInterests,
139,   지배기업의 소유주에게 귀속되는 당기순이익(손실),,,,,,,,,,ifrs-full_ProfitLossAttributableToOwnersOfParent,
140,기타포괄손익,,,,,,,,,,ifrs-full_OtherComprehensiveIncome,
141,   당기손익으로 재분류될 수 있는 항목(세전기타포괄손익),,,,,,,,,,dart_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossBeforeTax,
142,      해외사업장환산외환차이(세전기타포괄이익),,,,,,,,,,ifrs-full_GainsLossesOnExchangeDifferencesOnTranslationBeforeTax,
143,총포괄손익,,,,,,,,,,ifrs-full_ComprehensiveIncome,
144,총 포괄손익의 귀속 [abstract],,,,,,,,,,ifrs-full_ComprehensiveIncomeAttributableToAbstract,
145,"   총 포괄손익, 지배기업의 소유주에게 귀속되는 지분",,,,,,,,,,ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,
146,"   총 포괄손익, 비지배지분",,,,,,,,,,ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,
147,주당이익 [abstract],,,,,,,,,,ifrs-full_EarningsPerShareAbstract,
148,   기본주당이익(손실),,,,,,,,,,ifrs-full_BasicEarningsLossPerShare,
149,   희석주당이익(손실),,,,,,,,,,ifrs-full_DilutedEarningsLossPerShare,
150,매출액,,,,,,,,,,ifrs-full_Revenue,
151,매출원가,,,,,,,,,,ifrs-full_CostOfSales,
152,매출총이익,,,,,,,,,,ifrs-full_GrossProfit,
153,판매비와관리비,,,,,,,,,,dart_TotalSellingGeneralAdministrativeExpenses,
154,영업이익,,,,,,,,,,dart_OperatingIncomeLoss,
155,기타수익,,,,,,,,,,dart_OtherGains,
156,기타비용,,,,,,,,,,dart_OtherLosses,
157,금융수익-유효이자율법에따른이자수익,,,,,,,,,,ifrs-full_FinanceIncome,
158,금융수익-기타,,,,,,,,,,ifrs-full_FinanceIncome,
159,금융원가,,,,,,,,,,ifrs-full_FinanceCosts,
160,법인세비용차감전분기순이익,,,,,,,,,,ifrs-full_ProfitLossBeforeTax,
161,법인세비용,,,,,,,,,,ifrs-full_IncomeTaxExpenseContinuingOperations,
162,계속사업분기순이익,,,,,,,,,,ifrs-full_ProfitLossFromContinuingOperations,
163,분기순이익,,,,,,,,,,ifrs-full_ProfitLoss,
164,분기순이익의 귀속,,,,,,,,,,ifrs-full_ProfitLossAttributableToAbstract,
165,   지배기업 소유주지분,,,,,,,,,,ifrs-full_ProfitLossAttributableToOwnersOfParent,
166,   비지배지분,,,,,,,,,,ifrs-full_ProfitLossAttributableToNoncontrollingInterests,
167,기타포괄손익,,,,,,,,,,ifrs-full_OtherComprehensiveIncome,
168,   당기손익으로 재분류되지 않는 항목,,,,,,,,,,dart_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,
169,      순확정급여부채의 재측정요소,,,,,,,,,,dart_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,
170,      관계기업의 기타포괄손익에 대한 지분,,,,,,,,,,dart_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillBeReclassifiedToProfitOrLossNetOfTax,
171,      지분상품에 대한 투자자산의 세후기타포괄손익,,,,,,,,,,ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesFromInvestmentsInEquityInstruments,
172,   후속적으로 당기손익으로 재분류되는 항목,,,,,,,,,,dart_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,
173,당기총포괄이익,,,,,,,,,,ifrs-full_ComprehensiveIncome,
174,총 포괄손익의 귀속 [abstract],,,,,,,,,,ifrs-full_ComprehensiveIncomeAttributableToAbstract,
175,   지배기업 소유주지분,,,,,,,,,,ifrs-full_ProfitLossAttributableToOwnersOfParent,
176,   비지배지분,,,,,,,,,,ifrs-full_ProfitLossAttributableToNoncontrollingInterests,
177,주당이익 [abstract],,,,,,,,,,ifrs-full_EarningsPerShareAbstract,
178,   기본주당이익,,,,,,,,,,ifrs-full_BasicEarningsLossPerShare,
179,매출액,,,,,,,,,,ifrs-full_Revenue,
180,매출원가,,,,,,,,,,ifrs-full_CostOfSales,
181,매출총이익,,,,,,,,,,ifrs-full_GrossProfit,
182,판매비와관리비,,,,,,,,,,dart_TotalSellingGeneralAdministrativeExpenses,
183,대손상각비,,,,,,,,,,,
184,영업이익(손실),,,,,,,,,,dart_OperatingIncomeLoss,
185,기타수익,,,,,,,,,,dart_OtherGains,
186,기타의대손상각비환입(비용),,,,,,,,,,,
187,기타비용,,,,,,,,,,dart_OtherLosses,
188,금융수익-유효이자율법으로계산한이자수익,,,,,,,,,,ifrs-full_FinanceIncome,
189,금융수익-기타,,,,,,,,,,ifrs-full_FinanceIncome,
190,금융원가,,,,,,,,,,ifrs-full_FinanceCosts,
191,법인세비용차감전순이익(손실),,,,,,,,,,ifrs-full_ProfitLossBeforeTax,
192,법인세비용,,,,,,,,,,ifrs-full_IncomeTaxExpenseContinuingOperations,
193,당기순이익(손실),,,,,,,,,,ifrs-full_ProfitLoss,
194,당기순이익(손실)의 귀속 [abstract],,,,,,,,,,ifrs-full_ProfitLossAttributableToAbstract,
195,   지배기업 소유주지분,,,,,,,,,,ifrs-full_ProfitLossAttributableToOwnersOfParent,
196,   비지배지분,,,,,,,,,,ifrs-full_ProfitLossAttributableToNoncontrollingInterests,
197,기타포괄손익,,,,,,,,,,ifrs-full_OtherComprehensiveIncome,
198,   당기손익으로 재분류되지 않는항목,,,,,,,,,,dart_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,
199,      순확정급여부채의 재측정요소,,,,,,,,,,dart_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,
200,총포괄손익,,,,,,,,,,ifrs-full_ComprehensiveIncome,
201,총 포괄손익의 귀속 [abstract],,,,,,,,,,ifrs-full_ComprehensiveIncomeAttributableToAbstract,
202,   지배기업의 소유주 지분,,,,,,,,,,ifrs-full_ProfitLossAttributableToOwnersOfParent,
203,   비지배지분,,,,,,,,,,ifrs-full_ProfitLossAttributableToNoncontrollingInterests,
204,주당순이익,,,,,,,,,,ifrs-full_EarningsPerShareAbstract,
205,   기본주당순이익(손실),,,,,,,,,,ifrs-full_BasicEarningsLossPerShare,
206,Ⅰ.매출액,,,,,,,,,,ifrs-full_Revenue,
207,Ⅱ.매출원가,,,,,,,,,,ifrs-full_CostOfSales,
208,Ⅲ.매출총이익,,,,,,,,,,ifrs-full_GrossProfit,
209,Ⅳ.판매비와관리비,,,,,,,,,,dart_TotalSellingGeneralAdministrativeExpenses,
210,   1.판매비,,,,,,,,,,,
211,   2.관리비,,,,,,,,,,,
212,Ⅴ.영업이익,,,,,,,,,,dart_OperatingIncomeLoss,
213,Ⅵ.금융수익,,,,,,,,,,ifrs-full_FinanceIncome,
214,Ⅶ.기타이익,,,,,,,,,,dart_OtherGains,
215,Ⅷ.금융비용,,,,,,,,,,ifrs-full_FinanceCosts,
216,IX.지분법손실,,,,,,,,,,,
217,X.기타비용,,,,,,,,,,dart_OtherLosses,
218,XI.법인세비용차감전순이익(손실),,,,,,,,,,ifrs-full_ProfitLossBeforeTax,
219,XII.법인세비용,,,,,,,,,,ifrs-full_IncomeTaxExpenseContinuingOperations,
220,XIII.당기순이익(손실),,,,,,,,,,ifrs-full_ProfitLoss,
221,XIV.기타포괄손익,,,,,,,,,,ifrs-full_OtherComprehensiveIncome,
222,   당기손익으로 재분류되지 않는항목(세후기타포괄손익),,,,,,,,,,dart_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,
223,      확정급여제도의 재측정손익(세후기타포괄손익),,,,,,,,,,dart_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,
224,   당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),,,,,,,,,,dart_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,
