,한글 Label,Element ID
105,반품비용,dart_ReturnedGoodsExpenses
106,보관료,dart_WarehouseExpenses
107,보상비,dart_CompensationExpenses
108,분양대행수수료,dart_HouseAndOfficeSalesAgentExpenses
109,사원모집비,dart_RecruitExpenses
110,산재보험료,dart_WorkersAccidentCompensationInsuranceExpenses
111,생물자산평가손실,dart_RevaluationLossOfBiologicalAsset
112,송무비,dart_LitigationExpenses
113,수주비,dart_OrderGettingExpenses
114,시험비,dart_ExperimentalResearchExpenses
115,업무추진비,dart_EngagementExpenses
116,외주용역비,dart_OutsourcingExpenses
117,유류비,dart_GasAndOilExpenses
118,전력비,dart_ElectricPowerExpense
119,전산비,dart_ElectronicFacilitiesExpenses
120,투자부동산감가상각비,dart_InvestmentPropertyDepreciationExpense
121,판매보증비,dart_ProductWarrantyExpensesRecovery
122,판매수리비,dart_ProductRepairExpenses
123,판매촉진비,dart_SalesPromotionExpenses
124,포장비,dart_PackingExpenses
125,피복비,dart_ClothingExpenses
126,하자보수비,dart_WarrantyExpenses
127,학술비,dart_AcademicInvestigationExpenses
128,수출제비용,dart_ExportOverallExpense
129,행사비,dart_CeremonyExpenses
130,협회비,dart_MembershipExpenses
131,회의비,dart_ConferenceExpenses
132,경상기술료,dart_OrdinaryTechnologyExpense
133,경조금,dart_CondolenceExpense
134,공사손실비,dart_ConstructionLoss
135,광고대행료,dart_AdvertisementAgentExpense
136,국제정산부담금,dart_InternationalSettleBurdenCharge
137,라이센스비,dart_LicenseFee
138,망접속정산비용,dart_NetworkContactSettleExpense
139,매체구입비,dart_MediaPurchaseExpense
140,문헌제작비,dart_LiteratureProducingExpense
141,복구충당부채전입액,dart_ExpensesOfProvisionsForRestoration
142,사무관리비,dart_ExpenseForManagementOfAffairs
143,시장조사비,dart_MarketResearchExpense
144,유전탐사비,dart_OilExplorationExpense
145,인건비,dart_PersonalExpense
146,인세,dart_StampDuty
147,임대자산관리비,dart_RentalPropertyAdministrationExpense
148,임차관리비,dart_LeaseholdAdministrationExpense
149,저작권료,dart_CopyrightExpense
150,전용회선료,dart_ExclusiveLineUseExpense
151,접속료,dart_ContactLineExpense
152,조사분석비,dart_ResearchExpense
153,주식보상비용(환입),ifrs-full_SharebasedPaymentTransactions
154,지급용차료,dart_CarServiceExpense
155,진행비,dart_ProgressExpense
156,카드채권매입비용,dart_CardLoanPurchaseExpense
157,클레임비용,dart_ClaimExpense
158,포상비,dart_PrizeExpense
159,홍보비,dart_PublicRelationExpense
160,기타판매비와관리비,dart_MiscellaneousExpenses
161,영업이익(손실),dart_OperatingIncomeLoss
162,기타이익,dart_OtherGains
163,금융상품평가이익,dart_GainsOnValuationOfLongTermFinancialInstruments
164,유형자산처분이익,dart_GainsOnDisposalsOfPropertyPlantAndEquipment
165,유형자산손상차손환입,dart_ReversalsOfPropertyPlantAndEquipment
166,무형자산처분이익,dart_GainsOnDisposalsOfIntangibleAssets
167,무형자산손상차손환입,dart_ReversalOfImpairmentLossesOnIntangibleAssets
168,단기매매금융자산처분이익,dart_GainsOnDisposalsOfHeldForTradingFinancialAssets
169,단기매매금융자산평가이익,dart_GainsOnValuationOfHeldForTradingFinancialAssets
170,당기손익인식금융부채처분이익,dart_GainsOnDisposalsOfFairValueFinancialLiabilities
171,당기손익인식금융부채평가이익,dart_GainsOnValuationOfFairValueFinancialLiabilities
172,당기손익인식금융자산처분이익,dart_GainsOnDisposalsOfFairValueFinancialAsset
173,당기손익인식금융자산평가이익,dart_GainsOnValuationOfFairValueFinancialAsset
174,매도가능금융자산처분이익,dart_GainsOnDisposalsOfAvailableForSaleFinancialAssets
175,매도가능금융자산손상차손환입,dart_ReversalsOfImpairmentLossesOnAvailableForSaleFinancialAssets
176,투자부동산손상차손환입,dart_ReversalsOfImpairmentLossesOnInvestmentProperty
177,투자부동산처분이익,dart_GainsOnDisposalsOfInvestmentProperty
178,투자부동산평가이익,dart_GainsOnValuationOfInvestmentProperty
