,항목코드,항목명
1166,dart_GainsOnTransactionOfDerivativeFinancialInstrumentsFinancialIncome,   파생상품거래이익(금융수익)
1173,dart_LossesOnValuationOfDerivativeFinancialInstrumentsFinancialExpense,   파생상품평가손실(금융원가)
1225,dart_LossesOnTransactionOfDerivativeFinancialInstrumentsFinancialExpense,   파생상품거래손실(금융원가)
1523,dart_CostOfSalesFromRenderingOfServicesRental,   임대매출원가
1657,dart_PublicationExpenses,   도서인쇄비
1665,dart_AmortisationExpense,   무형자산상각비
1669,dart_ReversalsOfAllowanceForOtherDoubtfulAccounts,   기타대손충당금환입
1673,dart_AllowanceForOtherDoubtfulAccounts,   기타의대손상각비
1676,dart_LossesOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,   지분법손실
1844,dart_LossesOnSaleOfInvestmentsInSubsidiaries,   종속기업투자주식처분손실
1845,dart_ImpairmentLossesOnAssociates,   관계기업/공동기업투자손상차손
1846,dart_ImpairmentLossDeterminedInAccordanceWithIFRS9,   K-IFRS 1109에 따라 결정된 손상차손
1978,dart_WarrantyExpenses,   하자보수비
2088,dart_ExportOverallExpense,   수출제비용
2093,dart_SamplesExpenses,   견본품비
2097,dart_PackingExpenses,   포장비
2109,dart_DividendIncomeNonOperating,   배당금수익
2110,dart_GainsFromCommission,   수입수수료
2111,dart_LentIncome,   수입임대료
2112,dart_GainsOnDisposalsOfPropertyPlantAndEquipment,   유형자산처분이익
2119,dart_Donations,   기부금
2159,dart_GainsArisingFromDifferenceBetweenPreviousAmortisedCostAndFairValueOfFinancialAssetsReclassifiedOutOfAmortisedCostIntoFairValueThroughProfitOrLossMeasurementCategory,   당기손익공정가치측정 금융자산평가이익
2162,dart_LossesOnDisposalOfFairValueFinancialAsset,   당기손익인식금융자산처분손실
3010,dart_EngagementExpenses,   업무추진비
3014,dart_MembershipExpenses,   협회비
3024,dart_GainsOnDisposalsOfInvestmentProperty,   투자부동산처분이익
3026,dart_GainsOnDisposalsOfInventory,   재고자산처분이익
3028,dart_GainsOnDisposalsOfIntangibleAssets,   무형자산처분이익
3298,dart_GainsOnValuationOfLongTermFinancialInstruments,   금융수익
13,ifrs-full_ProfitLossAttributableToAbstract,당기순이익의 귀속
14,ifrs-full_ProfitLossAttributableToOwnersOfParent,   지배기업의 소유주
15,ifrs-full_ProfitLossAttributableToNoncontrollingInterests,   비지배지분
369,ifrs-full_GainsArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,지분법손익
371,ifrs-full_DifferenceBetweenCarryingAmountOfNoncashAssetsDistributedAndCarryingAmountOfDividendsPayable,기타영업외비용
647,dart_GainsOnDisposalsOfNoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSale,   매각예정자산처분이익
653,dart_LossesOnDisposalOfNonCurrentAssetsOrDisposalGroupsClassifiedAsHeldForSale,   매각예정자산처분손실
871,ifrs-full_GainsLossesArisingFromDifferenceBetweenPreviousCarryingAmountAndFairValueOfFinancialAssetsReclassifiedAsMeasuredAtFairValue,관계기업에 대한 지분법손익
1313,ifrs-full_GainsLossesOnNetMonetaryPosition,관계기업 투자손익
2169,dart_WarehouseExpenses,   보관료
2383,dart_GainsOnDisposalsOfFairValueFinancialAsset,   당기손익인식금융자산처분이익
2393,dart_ImpairmentLossesOnIntangibleAssets,   무형자산손상차손
2396,dart_LossesArisingFromDifferenceBetweenPreviousAmortisedCostAndFairValueOfFinancialAssetsReclassifiedOutOfAmortisedCostIntoFairValueThroughProfitOrLossMeasurementCategory,   당기손익공정가치측정 금융자산평가손실
2963,dart_ExpensesOfProvisionsForRestoration,   복구충당부채전입액
3307,dart_ProfitsOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,   지분법이익
3317,dart_GainsOnValuationOfForeignExchangeForwardFinancialIncome,   통화선도평가이익(금융수익)
3322,dart_LossesOnValuationOfForeignExchangeForwardFiancialExpense,   통화선도평가손실(금융원가)
14,ifrs-full_OtherComprehensiveIncome,기타포괄손익
15,dart_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,   후속적으로 당기손익으로 재분류될 수 있는 항목
