,항목명,종목코드,회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,통화,항목코드,당기 1분기 3개월
0,영업수익,,,,,,,,,,ifrs-full_Revenue,
1,판매비와관리비,,,,,,,,,,dart_TotalSellingGeneralAdministrativeExpenses,
2,영업이익,,,,,,,,,,dart_OperatingIncomeLoss,
3,기타영업외수익,,,,,,,,,,dart_OtherGains,
4,금융수익,,,,,,,,,,ifrs-full_FinanceIncome,
5,금융비용,,,,,,,,,,ifrs-full_FinanceCosts,
6,법인세비용차감전순이익,,,,,,,,,,ifrs-full_ProfitLossBeforeTax,
7,법인세비용(수익),,,,,,,,,,ifrs-full_IncomeTaxExpenseContinuingOperations,
8,당기순이익,,,,,,,,,,ifrs-full_ProfitLoss,
9,주당순이익,,,,,,,,,,ifrs-full_EarningsPerShareAbstract,
10,   보통주 주당순이익,,,,,,,,,,ifrs-full_BasicEarningsLossPerShare,
11,   보통주 희석주당순이익,,,,,,,,,,ifrs-full_DilutedEarningsLossPerShare,
12,매출액,,,,,,,,,,ifrs-full_Revenue,
13,매출원가,,,,,,,,,,ifrs-full_CostOfSales,
14,매출총이익,,,,,,,,,,ifrs-full_GrossProfit,
15,판매비와관리비,,,,,,,,,,dart_TotalSellingGeneralAdministrativeExpenses,
16,영업이익,,,,,,,,,,dart_OperatingIncomeLoss,
17,금융수익,,,,,,,,,,ifrs-full_FinanceIncome,
18,금융원가,,,,,,,,,,ifrs-full_FinanceCosts,
19,기타수익,,,,,,,,,,dart_OtherGains,
20,기타비용,,,,,,,,,,dart_OtherLosses,
21,법인세비용차감전순이익(손실),,,,,,,,,,ifrs-full_ProfitLossBeforeTax,
22,법인세비용,,,,,,,,,,ifrs-full_IncomeTaxExpenseContinuingOperations,
23,분기순이익(손실),,,,,,,,,,ifrs-full_ProfitLoss,
24,주당이익 [abstract],,,,,,,,,,ifrs-full_EarningsPerShareAbstract,
25,   기본 및 희석주당손익(손실),,,,,,,,,,ifrs-full_BasicEarningsLossPerShare,
26,매출액,,,,,,,,,,ifrs-full_Revenue,
27,매출원가,,,,,,,,,,ifrs-full_CostOfSales,
28,매출총이익,,,,,,,,,,ifrs-full_GrossProfit,
29,판매비와관리비,,,,,,,,,,dart_TotalSellingGeneralAdministrativeExpenses,
30,영업이익(손실),,,,,,,,,,dart_OperatingIncomeLoss,
31,금융수익,,,,,,,,,,ifrs-full_FinanceIncome,
32,금융비용,,,,,,,,,,ifrs-full_FinanceCosts,
33,기타영업외수익,,,,,,,,,,dart_OtherGains,
34,기타영업외비용,,,,,,,,,,dart_OtherLosses,
35,법인세비용차감전순이익(손실),,,,,,,,,,ifrs-full_ProfitLossBeforeTax,
36,법인세비용,,,,,,,,,,ifrs-full_IncomeTaxExpenseContinuingOperations,
37,계속영업이익(손실),,,,,,,,,,ifrs-full_ProfitLossFromContinuingOperations,
38,중단영업이익(손실),,,,,,,,,,ifrs-full_ProfitLossFromDiscontinuedOperations,
39,당기순이익(손실),,,,,,,,,,ifrs-full_ProfitLoss,
40,주당이익 [abstract],,,,,,,,,,ifrs-full_EarningsPerShareAbstract,
41,   기본주당이익(손실),,,,,,,,,,ifrs-full_BasicEarningsLossPerShare,
42,   희석주당이익(손실),,,,,,,,,,ifrs-full_DilutedEarningsLossPerShare,
43,수익(매출액),,,,,,,,,,ifrs-full_Revenue,
44,매출원가,,,,,,,,,,ifrs-full_CostOfSales,
45,매출총이익,,,,,,,,,,ifrs-full_GrossProfit,
46,판매비와관리비,,,,,,,,,,dart_TotalSellingGeneralAdministrativeExpenses,
47,영업이익(손실),,,,,,,,,,dart_OperatingIncomeLoss,
48,기타이익,,,,,,,,,,dart_OtherGains,
49,기타손실,,,,,,,,,,dart_OtherLosses,
50,금융수익,,,,,,,,,,ifrs-full_FinanceIncome,
51,금융원가,,,,,,,,,,ifrs-full_FinanceCosts,
52,법인세비용차감전순이익(손실),,,,,,,,,,ifrs-full_ProfitLossBeforeTax,
53,법인세비용,,,,,,,,,,ifrs-full_IncomeTaxExpenseContinuingOperations,
54,당기순이익(손실),,,,,,,,,,ifrs-full_ProfitLoss,
55,주당이익 [abstract],,,,,,,,,,ifrs-full_EarningsPerShareAbstract,
56,   기본주당이익(손실),,,,,,,,,,ifrs-full_BasicEarningsLossPerShare,
57,수익(매출액),,,,,,,,,,ifrs-full_Revenue,
58,매출총이익,,,,,,,,,,ifrs-full_GrossProfit,
59,판매비와관리비,,,,,,,,,,dart_TotalSellingGeneralAdministrativeExpenses,
60,영업이익(손실),,,,,,,,,,dart_OperatingIncomeLoss,
61,기타이익,,,,,,,,,,dart_OtherGains,
62,기타손실,,,,,,,,,,dart_OtherLosses,
63,금융수익,,,,,,,,,,ifrs-full_FinanceIncome,
64,금융원가,,,,,,,,,,ifrs-full_FinanceCosts,
65,법인세비용차감전순이익(손실),,,,,,,,,,ifrs-full_ProfitLossBeforeTax,
66,법인세비용,,,,,,,,,,ifrs-full_IncomeTaxExpenseContinuingOperations,
67,당기순이익(손실),,,,,,,,,,ifrs-full_ProfitLoss,
68,주당이익 [abstract],,,,,,,,,,ifrs-full_EarningsPerShareAbstract,
69,   기본주당이익(손실),,,,,,,,,,ifrs-full_BasicEarningsLossPerShare,
70,   우선주당이익(손실),,,,,,,,,,ifrs-full_DilutedEarningsLossPerShare,
71,매출액,,,,,,,,,,ifrs-full_Revenue,
72,   공사매출,,,,,,,,,,dart_RevenueFromConstruction,
73,   분양매출,,,,,,,,,,dart_RevenueFromSaleOfGoodsRealEstate,
74,   기타매출,,,,,,,,,,ifrs-full_OtherRevenue,
75,매출원가,,,,,,,,,,ifrs-full_CostOfSales,
76,   공사매출원가,,,,,,,,,,dart_CostOfSalesFromConstruction,
77,   분양매출원가,,,,,,,,,,dart_CostOfSalesFromSaleOfGoodsRealEstate,
78,   기타매출원가,,,,,,,,,,dart_OtherCostOfSales,
79,매출총이익,,,,,,,,,,ifrs-full_GrossProfit,
80,판매비와관리비,,,,,,,,,,dart_TotalSellingGeneralAdministrativeExpenses,
81,영업이익,,,,,,,,,,dart_OperatingIncomeLoss,
82,기타수익,,,,,,,,,,dart_OtherGains,
83,기타비용,,,,,,,,,,dart_OtherLosses,
84,금융수익,,,,,,,,,,ifrs-full_FinanceIncome,
85,금융원가,,,,,,,,,,ifrs-full_FinanceCosts,
86,법인세비용차감전순이익,,,,,,,,,,ifrs-full_ProfitLossBeforeTax,
87,법인세비용,,,,,,,,,,ifrs-full_IncomeTaxExpenseContinuingOperations,
88,당기순이익,,,,,,,,,,ifrs-full_ProfitLoss,
89,주당이익 [abstract],,,,,,,,,,ifrs-full_EarningsPerShareAbstract,
90,   기본주당이익(손실),,,,,,,,,,ifrs-full_BasicEarningsLossPerShare,
91,   희석주당이익(손실),,,,,,,,,,ifrs-full_DilutedEarningsLossPerShare,
92,수익(매출액),,,,,,,,,,ifrs-full_Revenue,
93,   상품매출액,,,,,,,,,,dart_RevenueFromSaleOfGoodsMerchandise,
94,   수수료매출,,,,,,,,,,dart_RevenueFromRenderingOfServicesCommission,
95,매출원가,,,,,,,,,,ifrs-full_CostOfSales,
96,   상품매출원가,,,,,,,,,,dart_CostOfSalesFromSaleOfGoodsMerchandises,
97,   수수료매출원가,,,,,,,,,,dart_CostOfSalesFromRenderingOfServicesCommission,
98,매출총이익,,,,,,,,,,ifrs-full_GrossProfit,
99,판매비와관리비,,,,,,,,,,dart_TotalSellingGeneralAdministrativeExpenses,
100,영업이익(손실),,,,,,,,,,dart_OperatingIncomeLoss,
101,기타이익,,,,,,,,,,dart_OtherGains,
102,기타손실,,,,,,,,,,dart_OtherLosses,
103,금융수익,,,,,,,,,,ifrs-full_FinanceIncome,
104,금융원가,,,,,,,,,,ifrs-full_FinanceCosts,
105,관계기업및종속기업관련손익,,,,,,,,,,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,
106,법인세비용차감전순이익(손실),,,,,,,,,,ifrs-full_ProfitLossBeforeTax,
107,법인세비용,,,,,,,,,,ifrs-full_IncomeTaxExpenseContinuingOperations,
108,당기순이익(손실),,,,,,,,,,ifrs-full_ProfitLoss,
109,주당이익 [abstract],,,,,,,,,,ifrs-full_EarningsPerShareAbstract,
110,   기본주당이익(손실),,,,,,,,,,ifrs-full_BasicEarningsLossPerShare,
111,수익(매출액),,,,,,,,,,ifrs-full_Revenue,
112,매출원가,,,,,,,,,,ifrs-full_CostOfSales,
113,매출총이익,,,,,,,,,,ifrs-full_GrossProfit,
114,판매비와관리비,,,,,,,,,,dart_TotalSellingGeneralAdministrativeExpenses,
115,영업이익(손실),,,,,,,,,,dart_OperatingIncomeLoss,
116,기타수익,,,,,,,,,,dart_OtherGains,
117,기타비용,,,,,,,,,,dart_OtherLosses,
118,금융수익,,,,,,,,,,ifrs-full_FinanceIncome,
119,금융비용,,,,,,,,,,ifrs-full_FinanceCosts,
120,법인세비용차감전순이익(손실),,,,,,,,,,ifrs-full_ProfitLossBeforeTax,
121,법인세비용,,,,,,,,,,ifrs-full_IncomeTaxExpenseContinuingOperations,
122,당기순이익(손실),,,,,,,,,,ifrs-full_ProfitLoss,
123,주당이익 [abstract],,,,,,,,,,ifrs-full_EarningsPerShareAbstract,
124,   기본주당이익(손실),,,,,,,,,,ifrs-full_BasicEarningsLossPerShare,
125,   희석주당이익(손실),,,,,,,,,,ifrs-full_DilutedEarningsLossPerShare,
126,매출액,,,,,,,,,,ifrs-full_Revenue,
127,매출원가,,,,,,,,,,ifrs-full_CostOfSales,
128,매출총이익,,,,,,,,,,ifrs-full_GrossProfit,
129,판매비와관리비,,,,,,,,,,dart_TotalSellingGeneralAdministrativeExpenses,
130,   대손상각비,,,,,,,,,,dart_BadDebtExpenses,
131,   기타,,,,,,,,,,dart_MiscellaneousExpenses,
132,영업이익,,,,,,,,,,dart_OperatingIncomeLoss,
133,영업외수익,,,,,,,,,,dart_OtherGains,
134,영업외비용,,,,,,,,,,dart_OtherLosses,
135,금융수익,,,,,,,,,,ifrs-full_FinanceIncome,
136,   이자수익,,,,,,,,,,dart_InterestIncomeFinanceIncome,
137,   기타,,,,,,,,,,dart_MiscellaneousExpenses,
138,금융원가,,,,,,,,,,ifrs-full_FinanceCosts,
139,   이자비용,,,,,,,,,,dart_InterestExpenseFinanceExpense,
140,   기타금융비용,,,,,,,,,,dart_OtherFinancialExpenses,
141,법인세비용차감전순이익,,,,,,,,,,ifrs-full_ProfitLossBeforeTax,
142,법인세비용,,,,,,,,,,ifrs-full_IncomeTaxExpenseContinuingOperations,
143,분기순이익,,,,,,,,,,ifrs-full_ProfitLoss,
144,주당이익 [abstract],,,,,,,,,,ifrs-full_EarningsPerShareAbstract,
145,   계속영업기본주당이익(손실),,,,,,,,,,ifrs-full_BasicEarningsLossPerShareFromContinuingOperations,
146,매출액,,,,,,,,,,ifrs-full_Revenue,
147,   제품매출액,,,,,,,,,,dart_RevenueFromSaleOfGoodsProduct,
148,   상품매출액,,,,,,,,,,dart_RevenueFromSaleOfGoodsMerchandise,
149,매출원가,,,,,,,,,,ifrs-full_CostOfSales,
150,   제품매출원가,,,,,,,,,,dart_CostOfSalesFromSaleOfGoodsProduct,
151,   상품매출원가,,,,,,,,,,dart_CostOfSalesFromSaleOfGoodsMerchandises,
152,매출총이익,,,,,,,,,,ifrs-full_GrossProfit,
153,판매비와관리비,,,,,,,,,,dart_TotalSellingGeneralAdministrativeExpenses,
154,대손상각비,,,,,,,,,,,
155,영업이익(손실),,,,,,,,,,dart_OperatingIncomeLoss,
156,기타수익,,,,,,,,,,dart_OtherGains,
157,기타비용,,,,,,,,,,dart_OtherLosses,
158,금융수익,,,,,,,,,,ifrs-full_FinanceIncome,
159,금융비용,,,,,,,,,,ifrs-full_FinanceCosts,
160,이자수익,,,,,,,,,,dart_OtherGains,
161,이자비용,,,,,,,,,,,
162,법인세비용차감전순이익(손실),,,,,,,,,,ifrs-full_ProfitLossBeforeTax,
163,법인세비용,,,,,,,,,,ifrs-full_IncomeTaxExpenseContinuingOperations,
164,분기순이익(손실),,,,,,,,,,ifrs-full_ProfitLoss,
165,주당이익 [abstract],,,,,,,,,,ifrs-full_EarningsPerShareAbstract,
166,   기본주당이익(손실),,,,,,,,,,ifrs-full_BasicEarningsLossPerShare,
167,   희석주당이익(손실),,,,,,,,,,ifrs-full_DilutedEarningsLossPerShare,
168,수익(매출액),,,,,,,,,,ifrs-full_Revenue,
169,   건설계약으로 인한 수익(매출액),,,,,,,,,,ifrs-full_RevenueFromConstructionContracts,
170,      공사수익,,,,,,,,,,dart_RevenueFromConstruction,
171,      분양매출(수익),,,,,,,,,,dart_RevenueFromSaleOfGoodsRealEstate,
172,   기타수익(매출액),,,,,,,,,,ifrs-full_OtherRevenue,
173,매출원가,,,,,,,,,,ifrs-full_CostOfSales,
174,   건설계약으로 인한 수익(매출액)에 대한 매출원가,,,,,,,,,,dart_CostOfSalesFromConstructionContracts,
175,      공사매출원가,,,,,,,,,,dart_CostOfSalesFromConstruction,
176,      분양매출원가,,,,,,,,,,dart_CostOfSalesFromSaleOfGoodsRealEstate,
177,   기타수익(매출액)에 대한 매출원가,,,,,,,,,,dart_OtherCostOfSales,
178,매출총이익,,,,,,,,,,ifrs-full_GrossProfit,
179,판매비와관리비,,,,,,,,,,dart_TotalSellingGeneralAdministrativeExpenses,
180,대손상각비,,,,,,,,,,,
181,영업이익(손실),,,,,,,,,,dart_OperatingIncomeLoss,
182,기타이익,,,,,,,,,,dart_OtherGains,
183,기타손실,,,,,,,,,,dart_OtherLosses,
184,이자수익,,,,,,,,,,dart_OtherGains,
185,이자비용,,,,,,,,,,,
186,금융수익,,,,,,,,,,ifrs-full_FinanceIncome,
187,금융원가,,,,,,,,,,ifrs-full_FinanceCosts,
188,법인세비용차감전순이익(손실),,,,,,,,,,ifrs-full_ProfitLossBeforeTax,
189,법인세비용,,,,,,,,,,ifrs-full_IncomeTaxExpenseContinuingOperations,
190,당기순이익(손실),,,,,,,,,,ifrs-full_ProfitLoss,
191,주당이익 [abstract],,,,,,,,,,ifrs-full_EarningsPerShareAbstract,
192,   기본주당이익(손실),,,,,,,,,,ifrs-full_BasicEarningsLossPerShare,
193,      계속영업기본주당이익(손실),,,,,,,,,,ifrs-full_BasicEarningsLossPerShareFromContinuingOperations,
194,   희석주당이익(손실),,,,,,,,,,ifrs-full_DilutedEarningsLossPerShare,
